date,currency_code,name,local_price,dollar_ex,dollar_price
2003-04-01,ARS,Argentina,4.1,2.88,1.423611111111111
2003-04-01,AUD,Australia,3,1.61,1.8633540372670807
2003-04-01,BRL,Brazil,4.55,3.07,1.482084690553746
2003-04-01,CAD,Canada,3.2,1.45,2.206896551724138
2003-04-01,CHF,Switzerland,6.3,1.37,4.598540145985401
2003-04-01,CLP,Chile,1400,716,1.9553072625698324
2003-04-01,CNY,China,9.9,8.28,1.1956521739130437
2003-04-01,CZK,Czech Republic,56.57,28.9,1.9574394463667821
2003-04-01,DKK,Denmark,27.75,6.78,4.092920353982301
2003-04-01,EGP,Egypt,8,5.92,1.3513513513513513
2003-04-01,EUR,Euro area,2.71,0.909090909,2.9810000002981
2003-04-01,GBP,Britain,1.99,0.632911392,3.1442000020122878
2003-04-01,HKD,Hong Kong,11.5,7.8,1.4743589743589745
2003-04-01,HUF,Hungary,490,224,2.1875
2003-04-01,IDR,Indonesia,16100,8740,1.8421052631578947
2003-04-01,JPY,Japan,262,120,2.183333333333333
2003-04-01,KRW,South Korea,3300,1220,2.7049180327868854
2003-04-01,MXN,Mexico,23,10.53,2.184235517568851
2003-04-01,MYR,Malaysia,5.04,3.8,1.3263157894736843
2003-04-01,NZD,New Zealand,3.95,1.78,2.2191011235955056
2003-04-01,PEN,Peru,7.9,3.46,2.2832369942196533
2003-04-01,PHP,Philippines,65,52.5,1.2380952380952381
2003-04-01,PLN,Poland,6.3,3.89,1.6195372750642671
2003-04-01,RUB,Russia,41,31.1,1.3183279742765273
2003-04-01,SGD,Singapore,3.3,1.78,1.8539325842696628
2003-04-01,SEK,Sweden,30,8.34,3.597122302158273
2003-04-01,THB,Thailand,59,42.7,1.3817330210772834
2003-04-01,TRY,Turkey,3750000,1600500,2.343017806935333
2003-04-01,TWD,Taiwan,70,34.8,2.0114942528735633
2003-04-01,USD,United States,2.46,1,2.46
2003-04-01,VEF,Venezuela,3700,1598,2.3153942428035044
2003-04-01,ZAR,South Africa,13.95,7.56,1.8452380952380953
2004-05-01,ARS,Argentina,4.36,2.95,1.4779661016949153
2004-05-01,AUD,Australia,3.25,1.43,2.272727272727273
2004-05-01,BRL,Brazil,5.4,3.18,1.6981132075471699
2004-05-01,CAD,Canada,3.19,1.37,2.3284671532846715
2004-05-01,CHF,Switzerland,6.3,1.29,4.883720930232558
2004-05-01,CLP,Chile,1400,641,2.1840873634945397
2004-05-01,CNY,China,10.4,8.28,1.2560386473429954
2004-05-01,COP,Colombia,6500,2769.83,2.3467144192964913
2004-05-01,CRC,Costa Rica,1130,433.55,2.60638911313574
2004-05-01,CZK,Czech Republic,56.42,26.5,2.129056603773585
2004-05-01,DKK,Denmark,27.75,6.22,4.461414790996785
2004-05-01,EGP,Egypt,10,6.19,1.615508885298869
2004-05-01,EUR,Euro area,2.74,0.833333333,3.2880000013152
2004-05-01,GBP,Britain,1.88,0.558659218,3.365199999259656
2004-05-01,HKD,Hong Kong,12,7.79,1.5404364569961488
2004-05-01,HUF,Hungary,530,211,2.5118483412322274
2004-05-01,IDR,Indonesia,16100,9120,1.7653508771929824
2004-05-01,JPY,Japan,262,113,2.3185840707964602
2004-05-01,KRW,South Korea,3200,1177,2.7187765505522514
2004-05-01,LKR,Sri Lanka,140,99,1.4141414141414141
2004-05-01,MXN,Mexico,24,11.6,2.0689655172413794
2004-05-01,MYR,Malaysia,5.04,3.8,1.3263157894736843
2004-05-01,NOK,Norway,35.5,6.8491,5.183162751310391
2004-05-01,NZD,New Zealand,4.35,1.64,2.652439024390244
2004-05-01,PKR,Pakistan,110,57.76,1.904432132963989
2004-05-01,PEN,Peru,8.99,3.49,2.5759312320916905
2004-05-01,PHP,Philippines,69,55.9,1.2343470483005368
2004-05-01,PLN,Poland,6.3,3.87,1.627906976744186
2004-05-01,RUB,Russia,42,29,1.4482758620689655
2004-05-01,SAR,Saudi Arabia,2.4,3.7502,0.639965868487014
2004-05-01,SGD,Singapore,3.3,1.71,1.9298245614035088
2004-05-01,SEK,Sweden,30,7.61,3.9421813403416555
2004-05-01,THB,Thailand,59,40.8,1.4460784313725492
2004-05-01,TRY,Turkey,3950000,1531000,2.5800130633572826
2004-05-01,TWD,Taiwan,75,33.4,2.245508982035928
